frame.number	frame.time	frame.time_relative	ip.proto	ip.src	udp.srcport	tcp.srcport	ip.dst	udp.dstport	tcp.dstport	frame.len
143	Apr 25, 2006 05:58:54.670224000 CDT	0.045859000	17	192.168.62.121	32917		227.111.1.3	12345		1358
144	Apr 25, 2006 05:58:54.670445000 CDT	0.046080000	17	192.168.62.121	32923		227.111.1.6	12345		1358
145	Apr 25, 2006 05:58:54.670669000 CDT	0.046304000	17	192.168.62.121	32921		227.111.1.5	12345		1358
146	Apr 25, 2006 05:58:54.670889000 CDT	0.046524000	17	192.168.62.121	32920		227.111.1.4	12345		1358
147	Apr 25, 2006 05:58:54.671110000 CDT	0.046745000	17	192.168.62.121	32915		227.111.1.1	12345		1358
148	Apr 25, 2006 05:58:54.671320000 CDT	0.046955000	17	192.168.62.121	32917		227.111.1.3	12345		1358
149	Apr 25, 2006 05:58:54.671540000 CDT	0.047175000	17	192.168.62.121	32923		227.111.1.6	12345		1358
150	Apr 25, 2006 05:58:54.671762000 CDT	0.047397000	17	192.168.62.121	32921		227.111.1.5	12345		1358
151	Apr 25, 2006 05:58:54.671770000 CDT	0.047405000	6	10.100.100.100		2834	192.168.62.121		5901	60
152	Apr 25, 2006 05:58:54.684294000 CDT	0.059929000	17	192.168.62.121	32917		227.111.1.3	12345		1358
153	Apr 25, 2006 05:58:54.684437000 CDT	0.060072000	17	192.168.62.121	32923		227.111.1.6	12345		1358
154	Apr 25, 2006 05:58:54.684566000 CDT	0.060201000	17	192.168.62.121	32921		227.111.1.5	12345		1358
155	Apr 25, 2006 05:58:54.684757000 CDT	0.060392000	17	192.168.62.121	32916		227.111.1.2	12345		1358
156	Apr 25, 2006 05:58:54.684938000 CDT	0.060573000	17	192.168.62.121	32920		227.111.1.4	12345		1358
157	Apr 25, 2006 05:58:54.685120000 CDT	0.060755000	17	192.168.62.121	32915		227.111.1.1	12345		1358
158	Apr 25, 2006 05:58:54.685283000 CDT	0.060918000	17	192.168.62.121	32917		227.111.1.3	12345		1358
159	Apr 25, 2006 05:58:54.685495000 CDT	0.061130000	17	192.168.62.121	32923		227.111.1.6	12345		1358
160	Apr 25, 2006 05:58:54.685720000 CDT	0.061355000	17	192.168.62.121	32921		227.111.1.5	12345		1358
161	Apr 25, 2006 05:58:54.685939000 CDT	0.061574000	17	192.168.62.121	32915		227.111.1.1	12345		1358
162	Apr 25, 2006 05:58:54.686160000 CDT	0.061795000	17	192.168.62.121	32920		227.111.1.4	12345		1358
163	Apr 25, 2006 05:58:54.686379000 CDT	0.062014000	17	192.168.62.121	32917		227.111.1.3	12345		1358
164	Apr 25, 2006 05:58:54.686604000 CDT	0.062239000	17	192.168.62.121	32923		227.111.1.6	12345		1358
165	Apr 25, 2006 05:58:54.686824000 CDT	0.062459000	17	192.168.62.121	32921		227.111.1.5	12345		1358
166	Apr 25, 2006 05:58:54.687045000 CDT	0.062680000	17	192.168.62.121	32917		227.111.1.3	12345		1358
167	Apr 25, 2006 05:58:54.687165000 CDT	0.062800000	17	192.168.62.121	32915		227.111.1.1	12345		1358
168	Apr 25, 2006 05:58:54.687359000 CDT	0.062994000	17	192.168.62.121	32916		227.111.1.2	12345		1358
169	Apr 25, 2006 05:58:54.687575000 CDT	0.063210000	17	192.168.62.121	32920		227.111.1.4	12345		1358
170	Apr 25, 2006 05:58:54.687804000 CDT	0.063439000	17	192.168.62.121	32923		227.111.1.6	12345		1358
171	Apr 25, 2006 05:58:54.688024000 CDT	0.063659000	17	192.168.62.121	32921		227.111.1.5	12345		1358
172	Apr 25, 2006 05:58:54.688252000 CDT	0.063887000	17	192.168.62.121	32917		227.111.1.3	12345		1358
173	Apr 25, 2006 05:58:54.688259000 CDT	0.063894000	6	10.100.100.100		2834	192.168.62.121		5901	60
174	Apr 25, 2006 05:58:54.688507000 CDT	0.064142000	17	192.168.62.121	32915		227.111.1.1	12345		1358
175	Apr 25, 2006 05:58:54.688727000 CDT	0.064362000	17	192.168.62.121	32923		227.111.1.6	12345		1358
176	Apr 25, 2006 05:58:54.688947000 CDT	0.064582000	17	192.168.62.121	32921		227.111.1.5	12345		1358
177	Apr 25, 2006 05:58:54.689168000 CDT	0.064803000	17	192.168.62.121	32920		227.111.1.4	12345		1358
178	Apr 25, 2006 05:58:54.689387000 CDT	0.065022000	17	192.168.62.121	32917		227.111.1.3	12345		1358
179	Apr 25, 2006 05:58:54.689607000 CDT	0.065242000	17	192.168.62.121	32915		227.111.1.1	12345		1358
180	Apr 25, 2006 05:58:54.689826000 CDT	0.065461000	17	192.168.62.121	32923		227.111.1.6	12345		1358
181	Apr 25, 2006 05:58:54.690046000 CDT	0.065681000	17	192.168.62.121	32921		227.111.1.5	12345		1358
182	Apr 25, 2006 05:58:54.690171000 CDT	0.065806000	17	192.168.62.121	32917		227.111.1.3	12345		1358
183	Apr 25, 2006 05:58:54.690376000 CDT	0.066011000	17	192.168.62.121	32916		227.111.1.2	12345		1358
184	Apr 25, 2006 05:58:54.690600000 CDT	0.066235000	17	192.168.62.121	32920		227.111.1.4	12345		1358
185	Apr 25, 2006 05:58:54.690824000 CDT	0.066459000	17	192.168.62.121	32915		227.111.1.1	12345		1358
186	Apr 25, 2006 05:58:54.691044000 CDT	0.066679000	17	192.168.62.121	32923		227.111.1.6	12345		1358
187	Apr 25, 2006 05:58:54.691264000 CDT	0.066899000	17	192.168.62.121	32921		227.111.1.5	12345		1358
188	Apr 25, 2006 05:58:54.691484000 CDT	0.067119000	17	192.168.62.121	32917		227.111.1.3	12345		1358
189	Apr 25, 2006 05:58:54.691701000 CDT	0.067336000	17	192.168.62.121	32920		227.111.1.4	12345		1358
190	Apr 25, 2006 05:58:54.691920000 CDT	0.067555000	17	192.168.62.121	32923		227.111.1.6	12345		1358
191	Apr 25, 2006 05:58:54.692135000 CDT	0.067770000	17	192.168.62.121	32921		227.111.1.5	12345		1358
192	Apr 25, 2006 05:58:54.692360000 CDT	0.067995000	17	192.168.62.121	32915		227.111.1.1	12345		1358
193	Apr 25, 2006 05:58:54.692580000 CDT	0.068215000	17	192.168.62.121	32917		227.111.1.3	12345		1358
194	Apr 25, 2006 05:58:54.692796000 CDT	0.068431000	17	192.168.62.121	32923		227.111.1.6	12345		1358
195	Apr 25, 2006 05:58:54.693028000 CDT	0.068663000	17	192.168.62.121	32921		227.111.1.5	12345		1358
196	Apr 25, 2006 05:58:54.693233000 CDT	0.068868000	17	192.168.62.121	32920		227.111.1.4	12345		1358
